CLUSTER_ID,RECORD_ID,DATA_SOURCE
2,1001,CUSTOMERS
2,1002,CUSTOMERS
2,1003,CUSTOMERS
2,1004,CUSTOMERS
1,1005,CUSTOMERS
1,1006,WATCHLIST
155,1007,WATCHLIST
145,1008,WATCHLIST
7,1009,CUSTOMERS
7,1010,CUSTOMERS
7,1011,CUSTOMERS
7,1012,WATCHLIST
7,1014,WATCHLIST
3,1015,CUSTOMERS
3,1016,CUSTOMERS
3,1017,CUSTOMERS
3,1018,CUSTOMERS
13,1019,CUSTOMERS
16,1020,CUSTOMERS
16,1021,WATCHLIST
14,1022,CUSTOMERS
14,1023,CUSTOMERS
14,1024,WATCHLIST
17,1025,CUSTOMERS
17,1026,CUSTOMERS
17,1027,WATCHLIST
19,1028,CUSTOMERS
149,1029,WATCHLIST
20,1030,CUSTOMERS
20,1031,CUSTOMERS
22,1032,CUSTOMERS
22,1033,CUSTOMERS
24,1034,CUSTOMERS
24,1035,CUSTOMERS
24,1036,CUSTOMERS
24,1037,WATCHLIST
24,1038,WATCHLIST
25,1039,CUSTOMERS
27,1040,CUSTOMERS
153,1041,WATCHLIST
153,1042,WATCHLIST
29,1043,CUSTOMERS
30,1044,CUSTOMERS
29,1045,CUSTOMERS
30,1046,CUSTOMERS
32,1047,CUSTOMERS
32,1048,CUSTOMERS
32,1049,CUSTOMERS
36,1050,CUSTOMERS
36,1051,CUSTOMERS
36,1052,CUSTOMERS
39,1053,CUSTOMERS
40,1054,CUSTOMERS
39,1055,CUSTOMERS
40,1056,CUSTOMERS
43,1057,CUSTOMERS
44,1058,CUSTOMERS
45,1059,CUSTOMERS
45,1060,CUSTOMERS
47,1061,CUSTOMERS
47,1062,CUSTOMERS
49,1063,CUSTOMERS
49,1064,CUSTOMERS
49,1065,CUSTOMERS
49,1066,CUSTOMERS
49,1067,CUSTOMERS
49,1068,CUSTOMERS
55,1069,CUSTOMERS
55,1070,CUSTOMERS
57,1071,CUSTOMERS
57,1072,CUSTOMERS
59,1073,CUSTOMERS
59,1074,CUSTOMERS
61,1075,CUSTOMERS
61,1076,CUSTOMERS
63,1077,CUSTOMERS
63,1078,CUSTOMERS
64,1079,CUSTOMERS
64,1080,CUSTOMERS
67,1081,CUSTOMERS
67,1082,CUSTOMERS
69,1083,CUSTOMERS
69,1084,CUSTOMERS
71,1085,CUSTOMERS
71,1086,CUSTOMERS
73,1087,CUSTOMERS
73,1088,CUSTOMERS
76,1089,CUSTOMERS
76,1090,CUSTOMERS
77,1091,CUSTOMERS
77,1092,CUSTOMERS
79,1093,CUSTOMERS
79,1094,CUSTOMERS
82,1095,CUSTOMERS
82,1096,CUSTOMERS
83,1097,CUSTOMERS
83,1098,CUSTOMERS
86,1099,CUSTOMERS
86,1100,CUSTOMERS
87,1101,CUSTOMERS
87,1102,CUSTOMERS
90,1103,CUSTOMERS
90,1104,CUSTOMERS
92,2011,CUSTOMERS
92,2012,REFERENCE
55,2013,REFERENCE
57,2014,REFERENCE
94,2031,CUSTOMERS
94,2032,CUSTOMERS
97,2041,REFERENCE
97,2042,CUSTOMERS
126,2051,REFERENCE
126,2052,WATCHLIST
93,2061,REFERENCE
93,2062,WATCHLIST
93,2063,CUSTOMERS
96,2071,REFERENCE
96,2072,CUSTOMERS
98,2073,CUSTOMERS
98,2074,REFERENCE
134,2081,REFERENCE
9082,2082,WATCHLIST
131,2091,REFERENCE
9092,2092,WATCHLIST
127,2101,REFERENCE
127,2102,REFERENCE
135,2111,REFERENCE
135,2112,REFERENCE
137,2121,REFERENCE
137,2122,REFERENCE
139,2131,REFERENCE
139,2132,REFERENCE
99,2141,REFERENCE
99,2142,CUSTOMERS
101,2151,REFERENCE
101,2152,CUSTOMERS
143,2161,REFERENCE
143,2162,REFERENCE
100,2171,CUSTOMERS
102,2172,CUSTOMERS
103,2181,CUSTOMERS
106,2182,CUSTOMERS
108,2191,CUSTOMERS
104,2192,CUSTOMERS
104,2193,CUSTOMERS
107,2201,CUSTOMERS
109,2202,CUSTOMERS
110,2203,CUSTOMERS
111,2204,CUSTOMERS
112,2205,CUSTOMERS
113,2206,CUSTOMERS
114,2207,CUSTOMERS
115,2208,CUSTOMERS
116,2209,CUSTOMERS
117,2210,CUSTOMERS
118,2211,CUSTOMERS
119,2212,CUSTOMERS
114,2213,CUSTOMERS
121,2214,CUSTOMERS
